ligand_id,ligand_name,num_atoms,spm_score,molskill_score,is_ns
1,NS-042248711-0000,15,-0.714585,0.160000,Yes
2,5j25_A_rec_4y58_47l_lig_tt_docked_7_pocket10_gen_sample_9,15,-0.526201,0.130000,No
3,NS-019852580-0000,20,-0.733141,-5.940000,Yes
4,3qjz_A_rec_3prz_3rz_lig_tt_docked_6_pocket10_gen_sample_18,20,-2.530108,2.540000,No
5,NS-000711175-0000,12,0.173549,-3.380000,Yes
6,2ycs_A_rec_4bde_cws_lig_tt_min_0_pocket10_gen_sample_17,12,-2.452564,12.240000,No
7,NS-022328196-0000,25,-0.648447,1.310000,Yes
8,2wtc_A_rec_2wtd_zzk_lig_tt_docked_0_pocket10_gen_sample_15,25,-3.246881,23.410000,No
9,NS-021815744-0000,20,-0.385868,-9.830000,Yes
10,3cp6_A_rec_4qpf_39l_lig_tt_docked_1_pocket10_gen_sample_7,20,-1.464786,3.470000,No
11,NS-029380398-0000,13,0.179741,16.020000,Yes
12,1p0b_A_rec_1s38_maq_lig_tt_docked_0_pocket10_gen_sample_11,13,-1.806198,2.200000,No
13,NS-019838558-0000,24,-0.971450,-0.900000,Yes
14,5l7t_A_rec_5en4_5q6_lig_tt_min_0_pocket10_gen_sample_11,24,-2.688844,1.810000,No
15,NS-015495745-0000,29,-1.428551,-4.770000,Yes
16,1tk8_A_rec_1sl2_dad_lig_tt_min_0_pocket10_gen_sample_13,29,-2.088223,-3.080000,No
17,NS-000515995-0000,24,-0.779971,-11.970000,Yes
18,3hld_A_rec_3hld_mja_lig_tt_min_0_pocket10_gen_sample_13,24,-3.239379,18.060000,No
19,NS-015636409-0000,20,-0.225013,11.000000,Yes
20,4jtt_A_rec_4jtt_jtt_lig_tt_docked_7_pocket10_gen_sample_15,20,-3.582914,13.750000,No
21,NS-000574033-0000,13,0.062101,10.740000,Yes
22,5eww_A_rec_5etb_5ro_lig_tt_docked_3_pocket10_gen_sample_7,13,-0.068212,14.820000,No
23,NS-012764341-0000,23,-0.960061,-4.100000,Yes
24,5f95_A_rec_5f94_3uo_lig_tt_min_0_pocket10_gen_sample_5,23,-2.361309,8.840000,No
25,NS-020116717-0000,25,-0.059769,6.500000,Yes
26,5ev8_C_rec_1jje_bys_lig_tt_min_0_pocket10_gen_sample_3,25,-1.286329,14.130000,No
27,NS-015007191-0000,26,0.452981,-11.260000,Yes
28,1zuc_B_rec_3zrb_orc_lig_tt_min_0_pocket10_gen_sample_3,26,-4.884433,15.780000,No
29,NS-012973028-0000,26,0.291429,-2.740000,Yes
30,1soo_A_rec_2gcq_doi_lig_tt_min_0_pocket10_gen_sample_13,26,-4.033952,5.510000,No
31,NS-017872422-0000,19,-0.497925,-14.300000,Yes
32,1dvu_A_rec_3m1o_cjz_lig_tt_docked_7_pocket10_gen_sample_1,19,-2.465689,10.430000,No
33,NS-029125726-0000,14,-0.652988,18.800000,Yes
34,5p91_A_rec_5p8w_o01_lig_tt_min_0_pocket10_gen_sample_17,14,-2.255666,11.100000,No
35,NS-017818446-0000,19,-0.480717,-2.850000,Yes
36,1rct_E_rec_2oc4_imh_lig_tt_min_0_pocket10_gen_sample_7,19,-1.383490,14.800000,No
37,NS-017014207-0000,22,0.453014,8.200000,Yes
38,1v2o_T_rec_2zq2_13u_lig_tt_docked_1_pocket10_gen_sample_9,22,-2.748121,9.850000,No
39,NS-016980015-0000,29,-0.653585,-2.570000,Yes
40,2uwl_B_rec_4y79_4o6_lig_tt_docked_0_pocket10_gen_sample_9,29,-2.264795,9.830000,No
41,NS-018414877-0000,24,-0.190116,1.210000,Yes
42,2y76_A_rec_2y71_cb6_lig_tt_docked_0_pocket10_gen_sample_11,24,-3.414319,22.100000,No
43,NS-017467154-0000,23,0.133049,-1.570000,Yes
44,3nxt_A_rec_5ht4_65j_lig_tt_docked_0_pocket10_gen_sample_15,23,-3.622164,-5.750000,No
45,NS-017910508-0000,24,-1.321839,-7.920000,Yes
46,2xbx_A_rec_4a7i_a7i_lig_tt_docked_0_pocket10_gen_sample_10,24,-0.650482,-1.870000,No
47,NS-020302882-0000,20,-0.380720,8.850000,Yes
48,1k9s_B_rec_1k9s_fm1_lig_tt_min_0_pocket10_gen_sample_9,20,-1.935554,13.090000,No
49,NS-022398533-0000,26,-0.440118,11.170000,Yes
50,4mht_A_rec_1fjx_sah_lig_tt_min_0_pocket10_gen_sample_8,26,-1.821572,-5.360000,No
51,NS-008697129-0000,14,0.076689,-2.410000,Yes
